gillan01,Anthony Gill,2021-2022,1,,,,,434
goldwan01,Anthony Goldwire,1996-2006,0,,,,,2763
grundan01,Anthony Grundy,2006,0,,,,,78
johnsan02,Anthony Johnson,1998-2010,0,,,,,8064
jonesan01,Anthony Jones,1987-1990,0,,,,,927
jonesan02,Anthony Jones,-,0,,,,,0
lamban01,Anthony Lamb,2021-2022,1,,,,,229
marshan01,Anthony Marshall,-,0,,,,,0
masonan01,Anthony Mason,1990-2003,0,,,,,19898
millean01,Anthony Miller,1995-2005,0,,,,,1064
morroan01,Anthony Morrow,2009-2017,0,,,,,7036
parkean01,Anthony Parker,1998-2012,0,,,,,7181
peelean01,Anthony Peeler,1993-2005,0,,,,,12109
pellean01,Anthony Pelle,-,0,,,,,0
pullaan01,Anthony Pullard,1993,0,,,,,27
randoan01,Anthony Randolph,2009-2014,0,,,,,3054
reedan01,Anthony Reed,-,0,,,,,0
roberan02,Anthony Roberson,2006-2009,0,,,,,349
roberan01,Anthony Roberts,1978-1984,0,,,,,2760
tarkean01,Anthony Tarke,-,0,,,,,0
tayloan01,Anthony Taylor,1989,0,,,,,221
teachan01,Anthony Teachey,-,0,,,,,0
tollian01,Anthony Tolliver,2009-2021,1,,,,,7517
tuckean01,Anthony Tucker,1995,0,,,,,481
watsoan01,Anthony Watson,-,0,,,,,0
carran01,Antoine Carr,1985-2000,0,,,,,13646
rigauan01,Antoine Rigaudeau,2003,0,,,,,31
walkean02,Antoine Walker,1997-2008,0,,,,,25708
wrighan01,Antoine Wright,2006-2011,0,,,,,2590
anderan02,Antonio Anderson,2010,0,,,,,3
blakean01,Antonio Blakeney,2018-2019,1,,,,,770
burksan01,Antonio Burks,2005-2006,0,,,,,339
daniean01,Antonio Daniels,1998-2011,0,,,,,11170
davisan01,Antonio Davis,1994-2006,0,,,,,16813
harvean01,Antonio Harvey,1994-2003,0,,,,,1044
langan02,Antonio Lang,1995-2000,0,,,,,589
mcdyean01,Antonio McDyess,1996-2011,0,,,,,21165
fotsian01,Antonis Fotsis,2002,0,,,,,180
clevean01,Antonius Cleveland,2018-2020,1,,,,,58
